Lineage_ID,Theme,Year,Question_Number,Question_Text
1,妊娠週数・分娩予定日・レーゲルの計算,2013,"問2-7,8",正規産とは妊娠(12)週0日から(13)週6日をいう。(12)週未満の分娩を(14)といい、42週以降の分娩を過産期という。
1,妊娠週数・分娩予定日・レーゲルの計算,2014,"問1-1,2,9",1) 妊娠週数を数えるとき、分娩予定日は(①)週(②)日である。妊娠10か月は、(③)週(④)日から(⑤)週(⑥)日までをいう。 2) 妊娠36週5日での分娩は(⑦)(期)産という。 9) 最終月経が2014年3月10日の場合にレーゲルの計算法で分娩予定日を計算すると、(19)年(20)月(21)日になる。
1,妊娠週数・分娩予定日・レーゲルの計算,2016,問1-1,妊娠週数を数えるとき、分娩予定日は(1)週(2)日から(3)週(4)日までである。正規産とは妊娠(5)週0日から(6)週6日をいう。
1,妊娠週数・分娩予定日・レーゲルの計算,2018,問1-1,分娩予定日とは(①週日)をいい、早産とは妊娠(②週日)までに出産したものをいい、過期産とは妊娠(③週日)以降の出産をいう。
1,妊娠週数・分娩予定日・レーゲルの計算,2022,"問1-1,4",1) 妊娠期について()にあてはまる数値を書きなさい。早産:妊娠()週以降()週未満、正期産:妊娠()週以降()週未満、過期産:妊娠()週以降、分娩予定日:妊娠()週()日 4) 2022年5月5日を最終月経初日とした時の分娩予定日をレーゲル計算法を用いて計算せよ。
1,妊娠週数・分娩予定日・レーゲルの計算,2023,問46-50,正期産とは(46、47)週(48)日から(49、50)週6日のことである。
1,妊娠週数・分娩予定日・レーゲルの計算,2024,"問題6,8-6,7","問題6: 最終月経4月3日で妊娠した場合の分娩予定日は。 問題8-6,7: 早期産は:妊娠○○週日から○○週○○日まで、正期産は:妊娠○○週日から○○週○○日まで"
1,妊娠週数・分娩予定日・レーゲルの計算,2025,"問52,59",52. 2024年11月21日を最終月経初日とした時の分娩予定日をヘーゲル計算方法を用いて計算 59. 早産は（）週（）日から（）週（）日である。
2,分娩の三要素,2013,問2-1,分娩の三要素といわれるものは(①)、(②)、(③)があり、それぞれの状態、相互関係が分娩の難易を決定する。
2,分娩の三要素,2014,問1-3,分娩の3要素には(⑧)、(⑨)、(⑩)があり、それぞれの状態、相互関係が分娩の難易を決定する。
2,分娩の三要素,2016,問1-2,分娩の三要素には、(7)(8)(9)がありそれぞれの状態、相互関係が難易度を決定する。
2,分娩の三要素,2018,問1-2,"分娩3要素とは、(④), (⑤), (⑥)である。"
2,分娩の三要素,2022,問1-2,分娩の3要素は何か。
2,分娩の三要素,2023,記述問題,分娩三要素を書きなさい。
2,分娩の三要素,2025,問53,分娩三要素を書きなさい。
3,分娩の開始定義と分娩経過（第1期〜第4期）,2013,"問2-2,3",2) 分娩は(④)分以内の規則的陣痛または1時間に(⑤)回以上の陣痛をもって分娩の開始という。 3) 分娩経過を大きく分けると3期に分けられる。分娩第1期は分娩開始から子宮口が(⑥)に開大するまで、分娩2期は子宮口が(⑥)から(⑦)までをいう。分娩第3期は(⑦)後、(⑧)までをいう。
3,分娩の開始定義と分娩経過（第1期〜第4期）,2014,"問1-4,5",4) 分娩は、(⑪)分以内の規則的陣痛または1時間に()回以上の陣痛をもって分娩の開始という。 5) 分娩経過を大きく分けると3期に分けられる。分娩第1期は分娩開始から子宮口が()cmに開大するまで、分娩2期は子宮口が⑬cmから(⑭)までをいう。分娩第3期は後、(⑮)までをいう。
3,分娩の開始定義と分娩経過（第1期〜第4期）,2016,"問1-3,4",3) 分娩経過を大きく分けると3期に分けられる。分娩第1期は分娩開始から子宮口が(10)cmに開大するまで、分娩2期は子宮口が(10)cmから(11)までをいう。分娩3期は(11)後、(12)までをいう。 4) 分娩は、(13)分以内の規則的陣痛または1時間に(14)回以上の陣痛をもって分娩の開始という。
3,分娩の開始定義と分娩経過（第1期〜第4期）,2018,"問1-3,5",3) 分娩経過を大きく分けると3期に分けられる。分娩第1期は分娩開始から子宮口が(⑦)cmに開大するまで、分娩2期は子宮口が(⑦)cmから(⑧)までをいう。分娩第3期は(⑧)後、(⑨)までをいう。 5) 分娩開始とは、(⑪)分ごとの陣痛または、1時間に()回以上の陣痛をいう。
3,分娩の開始定義と分娩経過（第1期〜第4期）,2022,問1-3,分娩の時期についてそれぞれ説明せよ。 分娩開始→ 分娩1期→ 分娩2期→ 分娩3期→ 分娩4期→
3,分娩の開始定義と分娩経過（第1期〜第4期）,2024,問題8-1〜5,分娩についての以下の単語について答えなさい 1. 分娩1期とは 2. 分娩2期とは 3. 分娩3期とは 4. 分娩4期とは 5. 陣痛開始とは
3,分娩の開始定義と分娩経過（第1期〜第4期）,2025,問54-56,以下について記述しなさい。 54. 分娩第1期について 55. 分娩第2期について 56. 分娩第3期について
4,マタニティブルーズと産後うつ,2013,問2-8,マタニティーブルーとは、産後(⑮)未満で消失する抑うつ気分や涙もろさを症状とする状態をいう。
4,マタニティブルーズと産後うつ,2016,"問1-7,8",7) (20)とは、産後10日未満で消失する抑うつ気分や涙もろさを症状とする状態をいう。 8) 産後2~4週間後に始まり、抑うつ、意識低下、興味喪失、睡眠障害などの生じる(20)でないものを(21)という。
4,マタニティブルーズと産後うつ,2018,問1-8,産後3~5日を中心に10日頃までに生じる、抑うつ気分や涙もろさを症状とする軽い一過性の状態を()という、これは、出産女性の20~50%が経験するといわれる。
4,マタニティブルーズと産後うつ,2023,記述問題,マタニティーブルーと産後うつの発症時期、症状、治療・ケアの違いについて簡潔に述べよ。
4,マタニティブルーズと産後うつ,2025,問50,マタニティブルーズについて正しいのはどれか。 ①出産後10日以内に発症する ②症状の消失には1ヶ月以上を要する ③日本における発症頻度は約50%である ④症状が認められた場合には母子の分離によるケアが必要である
5,産褥期の生理的変化・進行性変化と退行性変化,2013,問2-5,産褥期には進行性変化と退行性変化がみられる。進行性変化としては乳汁の分泌がある。退行性変化としては(⑩)がある。
5,産褥期の生理的変化・進行性変化と退行性変化,2014,問1-7,産褥期には進行性と退行性の変化がみられる。進行性変化としては乳汁の分泌がある。退行性変化としては()がある。
5,産褥期の生理的変化・進行性変化と退行性変化,2016,問1-10,産褥期には進行性と退行性の変化が見られる。進行性変化としては乳汁の分泌がある。退行性変化としては(25)がある。
5,産褥期の生理的変化・進行性変化と退行性変化,2018,問1-10,産褥期には進行性の変化と退行性変化がみられる。進行性変化としては(②)がある。退行性変化としては子宮復古がある。
5,産褥期の生理的変化・進行性変化と退行性変化,2025,問45,産褥期の生理的変化で正しいのはどれか。 ①児が乳頭を吸啜することによってオキシトシンが分泌される。 ②子宮が非妊時の大きさに戻るのは分娩後約2週である。 ③分娩後は一時的に尿量が減少する。 ④プロゲステロンが増加する。
6,母子感染の経路・母乳感染・ワクチン,2016,問1-5 / 追加15,母子感染の種類3つ: 経胎盤感染、産道感染、母乳感染
6,母子感染の経路・母乳感染・ワクチン,2018,問1-6,"母子感染の経路3つは(⑬), (), (⑮)である。"
6,母子感染の経路・母乳感染・ワクチン,2023,問43,母乳感染で気をつけないといけないウイルスはどれか。(1. HIV 2. HTLV 3. トキソプラズマ 4. 梅毒 5. 麻疹) / TORCH症候群についてそれぞれ何を意味するか記載しなさい。
6,母子感染の経路・母乳感染・ワクチン,2024,"問題5-23, 8-9",問題5-23: 妊婦が摂取できるワクチンを二つ選べ (1. 風疹 2. COVID-19 3. インフルエンザ 4. 水痘)。 問題8-9: 垂直感染と水平感染について説明してください。
6,母子感染の経路・母乳感染・ワクチン,2025,"問42, 44",42. 妊娠初期の感染で児が難聴になる可能性が高いものはどれか (1. 水痘 2. 麻疹 3. 風疹 4. 流行性耳下腺炎)。 44. 妊娠中に接種できるワクチンはどれか。2つ選べ (1. 麻疹 2. インフルエンザ 3. COVID-19 4. 水痘)。
7,常位胎盤早期剥離の症状,2022,問1-5,常位胎盤早期剥離の特徴的な症状について、正しいものに○、誤ったものに×。 ①母体の体温が38.5度以上になる ②持続的な腹痛がある ③胎動の減少または消失がある ④急激な子宮底の上昇、圧痛、緊張がある ⑤便秘、嘔吐がある
7,常位胎盤早期剥離の症状,2023,問42,常位胎盤早期剥離の症状で正しいものを選べ。 1.母体の体温が38.5度以上になる 2.胎動の減少、消失が起こる 3.持続的な腹痛が起こる 4.急激な子宮底の上昇、圧痛、緊張がある 5.便秘、嘔吐がある
7,常位胎盤早期剥離の症状,2024,問題5-19,常位胎盤早期剝離の症状で正しいものを選べ (1. 母体の体温が38.5℃以上 2. 胎動の減少、消失 3. 持続的な腹痛 4. 急激な子宮底の上昇、圧痛、緊張 5. 便秘、嘔吐)
8,新生児の定義（日齢・低出生体重児・SFD）,2013,"問3-1,2,3","1) 出生した当日は、日齢1である。(x) 2) 出生時体重1,900gで出生した児は極低出生体重児である(x) 3) 在胎39週6日、体重1,920gで出生した児は、SFD (small for dates)である(o)"
8,新生児の定義（日齢・低出生体重児・SFD）,2014,"問3-1,2,3","1) 出生した当日は、日齢0である。 2) 出生時体重1,300gの児は極低出生体重児である。 3) 在胎39週6日、体重1,920gで出生した児は、SFD (small for dates)である。"
8,新生児の定義（日齢・低出生体重児・SFD）,2016,"問3-1,2,4",1) 出生した当日は、日齢0である。 2) 出生時、体重2300gの児は低出生体重児である。 4) 在胎39週6日、体重1920gで出生した児は、SFDである。
8,新生児の定義（日齢・低出生体重児・SFD）,2018,"問3-1,2,5","1) 出生した日の翌日が、日齢1である。 2) 出生時体重1,400gの児は極低出生体重児である。 5) 在胎39週6日、体重1,920gで出生した児は、SFD (small for dates)である。"
8,新生児の定義（日齢・低出生体重児・SFD）,2022,"問3-1,2,5",1) 出生した当日は日齢0である。 2) 出生時体重1970gの児は、極低出生体重児である 5) 在胎39週0日、体重1920gで出生した児はSFD (small for dates)である
8,新生児の定義（日齢・低出生体重児・SFD）,2023,"問21,22",21) 出生した当日は日齢1である。 22) 出生時体重2050gの児は、低出生体重児である。
8,新生児の定義（日齢・低出生体重児・SFD）,2024,問題5-1,出生した当日は日齢1日である。
8,新生児の定義（日齢・低出生体重児・SFD）,2025,"問22,23",22. 出生した当日は日齢1である。 23. 出生時体重1970gの子は、低出生体重児である。
9,肺サーファクタント（作用・産生時期・欠乏）,2013,"問3-5,6,7",5) 肺サーファクタントによって肺の気道抵抗が減少する 6) 肺サーファクタントは、胎生28週以前に肺胞内で生産される 7) 正期産で体重1850gの低出生体重児では、肺サーファクタントの欠乏が予想される。
9,肺サーファクタント（作用・産生時期・欠乏）,2014,"問3-5,6,7",5) 肺サーファクタントによって肺の気道抵抗が増加する 6) 肺サーファクタントは、胎生28週以前に肺胞内で産生される。 7) 正期産で体重1850gの低出生体重児では、肺サーファクタントの欠乏が予想される
9,肺サーファクタント（作用・産生時期・欠乏）,2016,"問3-10,11,12",10) 肺サーファクタントは、胎生28週以前に肺胞内で産生される。 11) 肺サーファクタントによって肺の気道抵抗が上昇する。 12) 正期産で1850gの低出生体重児では、肺サーファクタントの欠乏が予想される。
9,肺サーファクタント（作用・産生時期・欠乏）,2018,"問3-4,8,9",4) 肺サーファクタントによって肺の気道抵抗が低下する。 8) 肺サーファクタントは、在胎28週までに肺胞内で産生される。 9) 正期産で体重1850gの低出生体重児では、肺サーファクタントの欠乏が予想される。
