Lineage_ID,Theme,Year,Question_Number,Question_Text
1,循環器疾患の特徴・胸痛の出方・加齢変化,2015,問1,1.高齢者の循環障害として正しいもの2つ ・不整脈を合併しやすい ・脳血管障害の合併がある ・非定型症状ではない
1,循環器疾患の特徴・胸痛の出方・加齢変化,2016,問1,高齢者の循環器疾患の特徴を２つ選ぶ 1）狭心症・心筋梗塞の症状は明らかな場合が多い 2）不正脈を合併していることが多い 3）心不全になりにくい 4）運動負荷試験や冠動脈造影など、侵襲性の高い試験を行いにくい 5）非典型的症状は少ない
1,循環器疾患の特徴・胸痛の出方・加齢変化,2017,問9,高齢者の循環器疾患の特徴２つ ①糖尿病合併患者は痛みが強い ②心房ブロックはまれである ③心臓以外への合併症もある ④高齢者心不全は弁膜症より虚血性心疾患が多い ⑤病態早期から症状が出る
1,循環器疾患の特徴・胸痛の出方・加齢変化,2022,大問12,循環器疾患について誤っているものを1つ選べ。 a. 典型的な胸部痛の頻度が増える b. 弁膜症は石灰化によるものが多い c. 女性は閉経後が多い d. 心拍数は加齢と共に低下 e.上室性期外収縮や心室細動などの不整脈を呈する
1,循環器疾患の特徴・胸痛の出方・加齢変化,2023,大問23,高齢者の循環器疾患について誤っているものを1つ選べ。 ① 高齢者は典型的な胸部痛の頻度が増える ② 弁膜症は石灰化によるものが多い ③ 女性は閉経後に多い ④ 心拍数は加齢と共に低下する ⑤ 上室性期外収縮や心房細動などの不整脈を呈する
1,循環器疾患の特徴・胸痛の出方・加齢変化,2024,大問15,循環器疾患について誤っているものを1つ選べ。 a. 典型的な胸痛の頻度が増える b. 弁膜症は石灰化によるものが多い c. 女性は閉経後が多い d. 心拍数は加齢と共に低下 e. 上室性期外収縮や心室細動などの不整脈を呈する
1,循環器疾患の特徴・胸痛の出方・加齢変化,2025,大問9,加齢による循環器疾患について誤っているものを 1 つ選べ。 a.非典型的な胸痛の頻度が増える b.弁膜症は石灰化によるものが多い c.女性は閉経後が多い d.心拍数が増加する e.上室性期外収縮や心室細動などの不整脈を呈する
1,循環器疾患の特徴・胸痛の出方・加齢変化,2025,大問10,高齢者の狭心症に関する記述で正しいものを1つ選びなさい a.加齢とともに典型的な胸痛の頻度が増える。 b.狭心症の症状は常に労作時に限局する c.非定型的な症状(食欲低下など)を呈することがある d.高齢者には狭心症は稀である e.狭心症には心電図異常が必ず見られる
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2012,問？,呼吸機能に対する加齢について、正しいものを2つ選べ (1) 非喫煙の健常者では加齢により呼吸機能は低下しない。 (2) 肺活量は加齢によって低下しない。 (3) 努力肺活量は加齢によって低下する。 (4) 1秒量は加齢によって低下する。 (5) 1秒量の低下で胚年齢は低下する。
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2015,問18,呼吸機能の老化について正しいものを2つ ・喫煙者でなければ呼吸機能は低下しない ・肺活量は高齢になると一律に低下する ・努力肺活量は低下しない
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2017,Q8,呼吸機能の老化について ①努力性肺活量は下がる
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2022,大問9,COPD で上昇するものを1つ選べ。 a.一秒率 b. 残気量 c.肺活量 d.努力性肺活量 e.一秒量
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2023,大問12,加齢とともに上昇するものを一つ選べ ① 一秒量 ② 肺活量 ③ 残気量 ④ PaO2 ⑤ 肺拡散能
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2024,大問18,老化に伴い上昇するもの 1、1秒量 2、肺活量 3、残気量 4、PaO2 5、肺拡散能
2,呼吸機能の加齢変化・残気量・1秒量・肺活量,2025,大問28,高齢者で上昇するものはどれか。 a.一秒率 b.肺活量 c.残気量 d.PaO2 e.肺拡散能
3,COPD（閉塞性肺疾患）の診断基準・リスクファクター・治療,2015,問16・17,COPDについて次のうち間違っているもの ・喫煙は憎悪因子となる ・肺気腫の破壊がみられる ・10万人の罹患者がいる ・可逆的であり治療可能 ・男性より女性の方が有病率が高い / COPDの診断について正しいものを2つ ・症状では診断できない ・自覚症状が早期診断につながる ・身体所見で早期診断につながる ・気流制限があれば診断する
3,COPD（閉塞性肺疾患）の診断基準・リスクファクター・治療,2016,問19・20,問19.COPDについて間違っているもの3つ選べ 1.肺気腫はCOPDの構成疾患である 2.COPDは喫煙によっておこる 3.日本において10万人存在する 4.禁煙によって可逆的に回復する 5.男性よりも女性が多い / 問20.COPDの診断について正しいものを1つ選べ 1.１秒率＞70% 2.１秒率＜70% 3.１秒率＞80% 4.%肺活量＜70% 5.努力肺活量＜80%
3,COPD（閉塞性肺疾患）の診断基準・リスクファクター・治療,2017,問31・32・34,31．COPDについて間違っているもの３つ ①喫煙している ②肺気腫が主要な構成疾患 ③日本の患者は推定10万人 ④治療により可逆的 ⑤男性よりも女性の方が多い / 34．慢性閉塞性肺疾患の気流制限の診断基準 ①1秒率（FEV1/FVC）＞７０％ ②1秒率（FEV1/FVC）＜７０％
3,COPD（閉塞性肺疾患）の診断基準・リスクファクター・治療,2022,大問10,COPD に関して正しいものを2つ選べ。 a. 喫煙はリスクファクターである b. 診断には呼吸機能検査が必要である c. 内服ステロイドは安定期に使われる d. 残気量は減少する e. 病初期にレントゲン写真で異常が認められる
3,COPD（閉塞性肺疾患）の診断基準・リスクファクター・治療,2023,大問13,COPD について正しいものを2つ選びなさい。 ① 喫煙はリスクファクターである。 ② 診断には肺機能検査が必要である。 ③ 内服ステロイドは安定期に使う。 ④ 残気量低下 ⑤ 病初期から胸部X腺検査で見られる?
3,COPD（閉塞性肺疾患）の診断基準・リスクファクター・治療,2024,大問19,COPD について正しいものを2つ選べ。
4,吸入薬・吸入デバイスの使用と指導,2022,大問11,吸入器について正しいもの1つ選べ。 a. ほとんどの患者は吸入器を正しく使えている d. 治療の第一選択が吸入ステロイドである e. 家族や看護師の介入が有効である
4,吸入薬・吸入デバイスの使用と指導,2024,大問20,吸入器について正しいものを2つ選べ。 1. ほとんどの患者は吸入器を正しく使えている。 2. 患者に対して吸入指導は必要ない。 3. COPDの治療の第一選択は吸入ステロイドである。 4. COPDと喘息の治療の中心は吸入器である。 5. 吸入の際には家族や介護者が介入することが重要である。
4,吸入薬・吸入デバイスの使用と指導,2025,大問30,吸入薬について正しいものはどれか2つ a.ほとんどの患者は吸入器を正しく使えている。 b.患者に対して吸入指導は必要ない。 c.COPDの治療の第一選択は吸入ステロイドである。 d.COPDと喘息の治療は吸入器である。 e.吸入の際には家族や介護者が介入することが重要である。
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2012,問？,高齢者肺炎で正しいのはどれか (1) 高熱を呈す。 (2) 典型的な症状が出やすい。 (3) レントゲン写真で発見されやすい (4) 特徴的な症状がなくても疑う (5) 長期に渡って抗生剤を投与する
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2016,問25・26・28,問25 肺炎は死因で何位か / 問26 死亡原因で正しいのを３つ選べ ・肺炎の死亡数は減少傾向にある ・高齢者の肺炎死亡数は減少傾向にある / 問28 市中肺炎、院内肺炎 ⑴市中肺炎の主たる原因菌はマイコプラズマ、肺炎球菌、院内肺炎の主たる原因菌は黄色ブドウ球菌、緑膿菌である ⑵院内感染の定義は入院一週間後以降に感染することである
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2017,Q11,肺炎の特徴 ①マイコプラズマ ②市中肺炎 ③院内肺炎は入院後2日後
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2022,大問15・16,15. 肺炎について誤っているのはどれか。 a. 主な死因別死亡数は第5位である。 b. 高齢者では発熱がないことがある? c. 院内肺炎は病院に入院後48時間以上経過して発症する。 d. 水飲み試験は嚥下機能検査に用いられる。 e. 高齢者に対するワクチン公布負担がない / 16.老人性肺炎について正しいものを2つ選べ。 a. 脳血管疾患は嚥下機能障害と関連がない b. 認知症は嚥下機能障害と関連がある c. 誤嚥性肺炎では発熱がみられにくい d. 誤嚥性肺炎は糖尿病との関連はない e. 誤嚥性肺炎と免疫力低下の関連はない
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2023,大問27,高齢者肺炎について正しいものを2つ選べ。 a. 高齢者肺炎は免疫機能と関連はない b. 高齢者肺炎は発熱を伴わないことがある c. 嚥下機能と認知症には関連がある。 d. 嚥下機能と脳血管疾患には関連はない
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2024,大問9・21,9. 肺炎について誤っているのはどれか a. 主な死因別死亡数は第5位である b.高齢者では発熱がないことがある c. 院内肺炎は病院に入院後48時間以上経過して発症する d.水飲み試験は嚥下機能検査に用いられる e. 高齢者に対するワクチン交付負担がない / 21. 高齢者肺炎について誤っているものを選べ。 1. 脳血管障害は嚥下反射・咳反射低下と関連がある。 2. 肺化膿症は胸腔内に膿(膿性の胸水)が貯留した病態である。 3. 高齢者では発熱がないことがある。 4. 通常真菌がヒトの肺中で増殖し肺真菌症を引き起こすことはほとんどない。 5. COVID-19に感染した場合ウイルス性肺炎を生じることがある。
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2025,大問12,肺炎について誤っているものを選びなさい。 a.肺炎とは病原微生物によって肺実質に起こる急性炎症である。 b.主な死因別死亡数は第5位である。 c.院内肺炎は病院に入院後48時間以上経過して発症する。 d.水飲み試験は嚥下機能検査に用いられる。 e.肺炎球菌ワクチンは公費負担がない。
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2025,大問13,高齢者肺炎で正しいもの1つ a.脳血管疾患は嚥下機能障害に関連がない。 b.認知症は嚥下機能障害に関連がある。 c.高齢者肺炎は発熱を伴わない。 d.高齢者肺炎は糖尿病に関連がある。 e.高齢者肺炎は免疫機能低下に関連がない。
5,高齢者肺炎の特徴（非典型症状・死因・市中/院内・誤嚥）,2025,大問15,呼吸器感染症について誤っているものを選びなさい 1. 脳血管障害は嚥下反射・咳反射低下と関連がある。 2. 膿胸は胸腔内に膿(膿性の胸水)が貯留した病態である。 3. 高齢者では発熱がないことがある。 4. 真菌がヒトの肺中で増殖し肺真菌症を起こり得ない。 5. 新型コロナウイルスに感染した場合肺炎を生じることがある。
6,高齢者糖尿病の運動療法（メディカルチェック・NEAT・適応）,2015,問10,高齢者糖尿病の運動療法について正しいもの ・有酸素運動を勧める ・全例に運動療法について指導する ・ストレッチは省略してよい
6,高齢者糖尿病の運動療法（メディカルチェック・NEAT・適応）,2017,問24,糖尿病高齢者の運動に関して正しいもの ①ストレッチをおこなう ②医師によるチェックは必要ない ③競争的な競技をおこなう ④無酸素運動をおこなう ⑤すべての対象者に運動療法を行う
