Lineage_ID,Theme,Year,Question_Number,Question_Text
1,不整脈（頻脈性不整脈・洞不全症候群の分類）,2016,問19,ひんみゃくでないもの(2択) 洞不全症候群 心房細動 心室頻拍 心室細動 房室ブロック
1,不整脈（頻脈性不整脈・洞不全症候群の分類）,2019,問11,頻脈性不整脈でないもの1つ 1 洞不全症候群 2 心室細動 3 心室粗動 4 心房細動 5 心房粗動
1,不整脈（頻脈性不整脈・洞不全症候群の分類）,2020,問9,頻脈性不整脈でないものを選べ。 a. 洞不全症候群 b. 心室細動 c. 心室粗動 d. 心房細動 e. 心房粗動
1,不整脈（頻脈性不整脈・洞不全症候群の分類）,2023,問9,頻脈性不整脈でないものはどれか。 1. 心室頻拍 2. 心室細動 3. 洞不全症候群 4. 心房細動 5. 心房粗動
1,不整脈（頻脈性不整脈・洞不全症候群の分類）,2024,問9,頻脈性不整脈でないものはどれか。 1. 心室細動 2. 心室頻拍 3. 心房細動 4. 心房粗動 5. 洞不全症候群
1,不整脈（頻脈性不整脈・洞不全症候群の分類）,2025,問1,頻脈性不整脈でないものはどれか。 1. 心室細動 2. 心室頻拍 3. 心房細動 4. 心房粗動 5. 洞不全症候群
2,心房細動における血栓リスク・危険因子,2018,問11,心房細動における血栓リスクに関与しないものを選べ。 a. 心不全 b. 高血圧 c. 年齢(75歳以上) d. 肺塞栓の既往 e. 糖尿病
2,心房細動における血栓リスク・危険因子,2019,問12,心房細動の血栓危険リスクに関与しないもの1つ a. 心不全 b. 高血圧 c. 年齢 75歳以上 d. 肺閉塞の既往 e. 糖尿病
2,心房細動における血栓リスク・危険因子,2020,問10,心房細動の血栓リスクに関与しないものを選べ。 a. 心不全 b. 高血圧 c. 年齢(50歳以上) d. 脳梗塞の既往 e. 糖尿病
2,心房細動における血栓リスク・危険因子,2022,問10,心房細動の血栓リスクに関与しないものを選べ。 a. 心不全 b. 高血圧 c. 年齢(50歳以上) d. 脳梗塞の既往 e. 糖尿病
2,心房細動における血栓リスク・危険因子,2023,問10,心房細動の血栓リスクに関与しないものを選べ。 a. 心不全 b. 高血圧 c. 年齢(50歳以上) d. 脳梗塞の既往 e. 糖尿病
2,心房細動における血栓リスク・危険因子,2024,問10,心房細動の危険因子は 1、心不全 2、高血圧 3、年齢(75歳以上) 4、脳梗塞の既往 5、親族の突然死歴
2,心房細動における血栓リスク・危険因子,2025,問2,心房細動の血栓リスクに関与しないものを1つ選べ。 1. 心不全 2. 高血圧 3. 年齢(75歳以上) 4. 肺塞栓の既往歴 5. 糖尿病
