Lineage_ID,Theme,Year,Question_Number,Question_Text
L01,ヒストンメチル化修飾の基本,2012,問1(4),"ヒストンのメチル化修飾は、リシンや (i ) の側鎖に生じる。後者のメチル化は、 (ii ) 個まで生じ、その生じ方には、 (iii ) と ( ) の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2013,問1(4),"ヒストンのメチル化修飾は、リシンや( )の側鎖に生じる。後者のメチル化は、( )まで生じ、その生じ方には、( )と( )の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2014,問1(4),"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。リシンののメチル化は、( )まで生じ、アルギニンのメチル化は（）まで生じる。後者の生じ方には、( )と( )の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2016,問1(2),"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。一ヶ所のリシンにメチル基は( ) 個まで生じる。一方、一ヶ所のアルギニンにメチル基は( )個まで生じ、その生じ方には、( )と( )の 2 通りが存在する。"
L01,ヒストンメチル化修飾の基本,2018,問1(2),"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。一カ所のリシンにメチル基は（ ）個まで生じる。一方、一カ所のアルギニンにメチル基は（ ）個まで生じ、その生じ方には（ ）と（ ）の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2020,問(3),"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。一か所のリシンにメチル基は(3-A)個まで生じる。一方、一か所のアルギニンにメチル基は(3-B)個まで生じ、その生じ方には、(3-C)と(3-D)の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2022,問2,"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。一か所のリシンにメチル基は(5)個まで生じる。一方、一か所のアルギニンにメチル基は(6)個まで生じ、その生じ方には、(7)と(8)の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2024,問(1),"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。一か所のリシンにメチル基は(１)個まで生じる。一方、一か所のアルギニンにメチル基は(２)まで生じ、その生じ方には、(３)と(４)の二通りが存在する。"
L01,ヒストンメチル化修飾の基本,2025,問1(1),"ヒストンのメチル化修飾は、リシンやアルギニンの側鎖に生じる。一か所のリシンにメチル基は(5)個まで生じる。一方、一か所のアルギニンにメチル基は(6)個まで生じ、その生じ方には、(7)と(8)の二通りが存在する。"
L02,ヒストン修飾と転写活性,2012,問1(5),"ヒストンのメチル化は修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストンH3のN末端から4番目のリシンのトリメチル化は（活性・不活性）な染色体領域に、9番目のリシンのジメチル化やトリメチル化は（活性・不活性）な染色体領域に良く観察される。"
L02,ヒストン修飾と転写活性,2013,問1(5),"ヒストンのメチル化は修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストン H3のN末端から 4番目のリシンのトリメチル化は(活性・不活性)な染色体領域に、9番目のリシンのジメチル化やトリメチル化は(活性・不活性)な染色体領域に良く観察される。"
L02,ヒストン修飾と転写活性,2014,問1(5),"ヒストンのメチル化は修飾されるアミノ酸の場所によって染色体構造との関連性が異なることが知られている。ヒストン H3の N末端から 4番目のリシンのトリメチル化は(活性・不活性)な染色体領域に、9番目のリシンのジメチル化やトリメチル化は(活性・不活性)な染色体領域に良く観察される。"
