"Lineage_ID","Theme","Year","Question_Number","Question_Text"
"1","近代外科の発展","2014","問4","2) 近代外科の発展において欠かせない重要項目を 2 つ挙げよ"
"1","近代外科の発展","2015","問2","近代外科の発展において欠かせない重要項目（事項）を 2つ挙げ、内容を説明せよ。"
"1","近代外科の発展","2016","問1","近代外科の発展につながるものを二つ答えよ。"
"1","近代外科の発展","2017","問1","近代外科の発展につながるものを二つ答えよ。(福本)"
"1","近代外科の発展","2018","問1","近代外科学の発展において欠かせない重要な要素は何か?2 つ答えよ。"
"1","近代外科の発展","2019","問1","近代外科の発展につながるものを二つ答えよ。"
"1","近代外科の発展","2021","問1","近代外科の発展につながるものを２つ答えよ。"
"1","近代外科の発展","2022","問1","近代外科の発展につながるものを二つ答えよ。"
"1","近代外科の発展","2023","問1","近代外科の発展につながるものを⼆つ答えよ。"
"1","近代外科の発展","2024","問1","近代医学の発展における重要な要素を 2 つ答えよ"
"2","損傷の定義","2012","予想問題","①損傷とは一般に組織・臓器の正常な生理的連続性が外因性・内因性の要因により破綻した状態のことをいう。"
"2","損傷の定義","2015","問1","損傷の定義を答えよ。"
"2","損傷の定義","2018","問3","損傷の定義を記せ。"
"2","損傷の定義","2019","問3","損傷の定義を記せ。"
"2","損傷の定義","2022","問2","損傷の定義を示せ。"
"2","損傷の定義","2023","問3","損傷の定義を⽰せ。"
"2","損傷の定義","2024","問2","損傷の定義について述べよ。"
"2","損傷の定義","2025","問1","損傷の定義について述べよ。"
"3","SSI（手術部位感染）の防止","2014","問2","1 SSI は各身体部によって分類される。部位ごとの分類を 3 つ述べよ 2 感染の経路を 3 つ述べよ 3 感染の兆候を 4 つ述べよ"
"3","SSI（手術部位感染）の防止","2015","問3","SSIの危険因子を 5つ挙げ、説明せよ。"
"3","SSI（手術部位感染）の防止","2016","問3","SSIを防ぐために消化器外科医が行っていることを列挙せよ。"
"3","SSI（手術部位感染）の防止","2016","問4","SSIの予防対策を 5つ書け。"
