Lineage_ID,Theme,Year,Question_Number,Question_Text
1,薬物療法（抗精神病薬・抗うつ薬）,2023,5ページ目,抗精神病薬は（ ア〈疾患名〉）の治療に用いられる。（ イ ）受容体に働きかける。抗うつ薬は（ ウ〈疾患名〉）、（ エ〈疾患名または症状〉）に作用し、薬理作用はシナプス間隙の(オ)(カ)の濃度の上昇を促進する。その代表的なものとして、(オ)再取り込み阻害薬(SSRI)や(オ)(カ)再取り込み阻害薬(SNRI)がある。[1]
1,薬物療法（抗精神病薬・抗うつ薬）,2024,第一問(1),抗精神病薬は（ ア〈疾患名〉）の治療に用いられる。（ イ ）受容体に働きかける。抗うつ薬は（ ウ〈疾患名〉）、（ エ〈疾患名または症状〉）に作用し、薬理作用はシナプス間隙の(オ)(カ)の濃度の上昇を促進する。その代表的なものとして、(オ)再取り込み阻害薬(SSRI)や(オ)(カ)再取り込み阻害薬(SNRI)がある。[2]
1,薬物療法（抗精神病薬・抗うつ薬）,2025,大問1,抗精神病薬は（ ア〈疾患名〉）の治療に用いられる。（ イ ）受容体に働きかける。抗うつ薬は（ ウ〈疾患名〉）、（ エ〈疾患名または症状〉）などの治療に用いられ、代表的なものに（オ）再取り込み阻害薬（SSRI),（オ). (カ）再取り込み阻害剤(SNRI)がある。[3]
2,心理社会的療法,2023,6ページ目,心理社会的療法について知っていることを記述せよ。[4]
2,心理社会的療法,2024,第一問(2),心理社会的療法について知ることを述べよ。[2]
2,心理社会的療法,2025,大問1,心理社会的療法について知っていることを書け。[3]
3,うつ病の症状,2023,6ページ目,うつ病の症状をできるだけ多く書きなさい。[4]
3,うつ病の症状,2024,第二問(1),うつ病の症状をできるだけ多く記しなさい。[2]
3,うつ病の症状,2024,第六問,うつ病の症状をなるべく多く記しなさい。[5]
3,うつ病の症状,2025,大問2,うつ病の症状について知るところをすべて書け。[3]
4,統合失調症（特徴と症状）,2023,1ページ目 2,2.統合失調症について適切なものはどれか。 ①連合弛緩 ②関心がなくなる ③意識障害 ④目標意識の亢進 [6]
4,統合失調症（特徴と症状）,2024,第三問 1,1. 統合失調症について間違っているものを一つ選べ。 ①発病危険率は１％で、性差はない。 ②自殺率は 10％である。 ③好発年齢は 50 歳である。 ➃初発患者の再発率は 80%である。[2]
